temperature_2m_C,humidity_2m_%,sea_level_pressure_hPa,precipitation_mm,snowfall_mm,cloud_cover_%,high_cloud_cover_%,mid_cloud_cover_%,low_cloud_cover_%,shortwave_radiation_Wm2,wind_speed_10m_ms,wind_direction_10m_deg,wind_speed_80m_ms,wind_direction_80m_deg,wind_speed_900mb_ms,wind_direction_900mb_deg,wind_gust_10m_ms,angle_of_incidence_deg,zenith_deg,azimuth_deg,power_generated_kW
4.01,36,1039.6,0.0,0.0,38.0,0,38,0,2.67,6.83,251.57,14.01,295.91,13.85,294.57,7.56,45.56,75.11,139.37,1371.9
6.66,34,1039.7,0.0,0.0,62.0,0,62,0,111.25,5.41,266.19,12.48,303.23,12.48,303.23,7.56,32.94,68.74,152.25,2154.57
9.29,40,1038.3,0.0,0.0,49.0,0,49,0,256.32,2.97,284.04,9.96,310.6,10.23,309.29,5.76,22.68,64.75,166.63,2456.03
12.26,33,1037.5,0.0,0.0,29.0,0,29,0,369.35,4.84,318.01,5.69,325.3,5.69,325.3,5.76,19.0,63.61,181.9,2536.2
13.77,30,1036.6,0.0,0.0,5.1,17,0,0,441.44,5.51,348.69,6.16,353.29,6.16,353.29,6.12,24.81,65.47,197.04,2462.39
14.43,30,1036.6,0.0,0.0,2.1,7,0,0,461.02,7.59,354.56,8.28,360.0,8.28,360.0,7.92,35.93,70.1,211.09,2202.69
14.58,30,1036.4,0.0,0.0,5.1,17,0,0,430.76,9.01,357.71,10.08,360.0,10.08,360.0,10.08,48.82,76.96,223.58,1046.9
14.04,32,1036.6,0.0,0.0,2.4,8,0,0,352.44,9.37,357.8,10.44,360.0,10.44,360.0,11.16,62.15,85.32,234.47,88.94
4.25,30,1038.8,0.0,0.0,0.0,0,0,0,0.0,6.61,209.36,3.42,71.57,2.9,82.87,1.08,59.02,83.23,127.91,418.46
4.28,31,1038.6,0.0,0.0,0.0,0,0,0,1.78,6.3,210.96,4.35,65.56,3.08,69.44,2.16,45.73,75.14,139.12,1300.42
5.76,35,1038.4,0.0,0.0,0.0,0,0,0,104.13,5.5,211.61,5.01,68.96,4.1,74.74,9.0,32.98,68.69,152.11,2143.07
8.47,40,1037.1,0.0,0.0,0.0,0,0,0,250.09,1.8,233.13,5.15,65.22,4.35,65.56,5.4,22.66,64.67,166.5,2436.73
11.34,33,1035.3,0.0,0.0,0.0,0,0,0,366.68,2.9,29.74,4.07,45.0,4.07,45.0,7.2,18.9,63.51,181.79,2534.35
12.25,29,1034.3,0.0,0.0,0.0,0,0,0,435.21,7.79,33.69,8.44,39.81,8.44,39.81,9.0,24.67,65.35,196.96,2477.89
12.6,30,1033.5,0.0,0.0,0.0,0,0,0,455.68,9.51,29.48,10.19,32.01,10.19,32.01,9.0,35.79,69.96,211.04,2206.89
12.66,31,1033.5,0.0,0.0,0.0,0,0,0,425.42,6.7,36.25,7.15,40.91,7.15,40.91,6.84,48.69,76.82,223.55,1040.87
12.4,33,1032.7,0.0,0.0,0.0,0,0,0,345.32,7.59,31.43,8.29,34.38,8.29,34.38,6.48,62.03,85.18,234.46,93.42
1.92,73,1034.2,0.0,0.0,0.0,0,0,0,0.0,15.48,178.67,31.7,178.05,21.25,178.06,22.32,59.11,83.22,127.76,425.3
1.51,80,1035.2,0.0,0.0,0.0,0,0,0,1.78,15.86,177.4,32.47,176.19,22.73,176.37,21.96,45.68,75.03,139.09,1355.1
4.38,76,1034.8,0.0,0.0,0.0,0,0,0,106.8,15.5,177.34,29.63,175.12,20.21,175.91,15.84,33.02,68.63,151.96,2122.22
7.8,67,1032.8,0.0,0.0,0.0,0,0,0,255.43,16.24,176.19,20.91,177.04,18.03,176.57,10.44,22.63,64.58,166.36,2430.86
10.07,58,1031.7,0.0,0.0,0.0,0,0,0,372.91,14.47,174.29,17.02,173.93,15.23,173.21,9.0,18.78,63.4,181.68,2549.78
12.65,38,1028.0,0.0,0.0,0.0,0,0,0,440.55,4.69,147.53,5.4,143.13,5.4,143.13,3.96,24.52,65.22,196.87,2505.54
13.28,39,1027.2,0.0,0.0,0.0,0,0,0,462.8,4.83,116.57,5.8,119.74,5.5,121.61,6.12,35.65,69.82,210.98,2236.17
13.36,42,1027.2,0.0,0.0,0.0,0,0,0,431.65,5.35,109.65,6.92,117.9,6.44,116.57,7.92,48.57,76.67,223.53,1079.7
12.68,49,1027.5,0.0,0.0,0.0,0,0,0,350.66,5.69,124.7,7.15,130.91,6.64,130.6,9.36,61.92,85.04,234.45,97.02
0.62,45,1031.7,0.0,0.0,0.0,0,0,0,0.0,7.7,217.41,5.24,285.95,9.45,220.36,6.12,59.19,83.2,127.61,445.48
0.82,44,1031.9,0.0,0.0,4.0,0,4,0,1.78,7.65,228.81,7.17,287.53,11.48,221.19,11.16,45.76,75.0,138.92,1411.15
3.32,45,1032.3,0.0,0.0,44.0,0,44,0,113.92,5.19,236.31,9.39,302.47,6.11,225.0,10.08,33.02,68.55,151.85,2212.98
7.06,47,1030.9,0.0,0.0,15.0,0,15,0,264.33,3.32,319.4,7.39,316.97,2.62,344.05,7.92,22.6,64.49,166.23,2522.24
9.36,34,1029.1,0.0,0.0,39.0,0,39,0,378.25,7.73,332.24,8.85,333.43,7.75,338.2,9.0,18.66,63.28,181.57,2625.5
8.86,41,1026.8,0.0,0.0,0.0,0,0,0,447.67,10.08,360.0,10.46,3.95,9.78,6.34,11.88,24.37,65.08,196.8,2577.2
9.23,42,1027.1,0.0,0.0,0.0,0,0,0,469.03,10.5,5.91,10.54,7.85,10.24,10.12,12.6,35.5,69.67,210.94,2283.7
9.21,44,1027.0,0.0,0.0,0.0,0,0,0,436.99,10.95,9.46,11.01,11.31,10.31,12.09,12.6,48.44,76.52,223.51,1086.2
8.64,48,1027.0,0.0,0.0,0.0,0,0,0,356.0,9.53,10.89,9.61,12.99,9.26,13.5,11.52,61.81,84.89,234.46,103.2
-2.0,99,1036.6,0.0,0.0,0.0,0,0,0,0.0,7.65,221.19,3.62,95.71,8.4,226.74,10.08,59.17,83.1,127.53,455.91
-1.77,92,1037.0,0.0,0.0,0.0,0,0,0,1.78,9.18,228.18,2.28,198.43,10.09,235.18,3.24,45.82,74.95,138.76,1417.32
0.78,81,1037.1,0.0,0.0,0.0,0,0,0,107.69,6.92,231.34,3.83,228.81,6.44,243.43,1.8,32.97,68.44,151.77,2224.33
4.01,70,1036.3,0.0,0.0,0.0,0,0,0,255.43,4.02,243.43,3.55,246.04,4.55,251.57,6.48,22.53,64.38,166.15,2549.88
6.32,62,1035.1,0.0,0.0,0.0,0,0,0,373.8,1.3,326.31,1.14,341.57,1.61,333.43,4.32,18.53,63.15,181.46,2637.66
8.03,45,1030.6,0.0,0.0,0.0,0,0,0,449.45,6.19,35.54,6.41,38.16,6.13,40.24,8.64,24.21,64.94,196.72,2567.62
8.93,42,1030.1,0.0,0.0,0.0,0,0,0,473.48,8.37,25.46,8.53,27.65,8.05,26.57,9.72,35.36,69.52,210.9,2293.59
9.11,43,1030.5,0.0,0.0,0.0,0,0,0,443.22,10.59,17.82,10.59,17.82,10.14,16.5,10.08,48.31,76.36,223.5,1167.86
8.46,47,1030.6,0.0,0.0,0.0,0,0,0,363.12,10.37,20.32,10.7,19.65,10.37,20.32,9.72,61.7,84.73,234.46,114.48
-0.48,56,1041.5,0.0,0.0,0.0,0,0,0,0.0,7.9,226.85,7.15,229.09,7.7,232.59,7.56,59.35,83.14,127.29,473.56
-0.38,49,1042.1,0.0,0.0,0.0,0,0,0,2.67,7.9,226.85,7.73,242.24,8.05,243.43,7.92,45.88,74.9,138.6,1441.6
1.6,43,1042.8,0.0,0.0,0.0,0,0,0,111.25,6.99,214.51,7.29,237.09,6.99,235.49,4.68,34.92,69.2,149.41,2175.12
1.52,38,1046.8,0.0,0.0,0.0,0,0,0,0.0,10.32,209.25,15.99,187.77,15.55,174.69,11.52,59.46,83.12,127.1,487.39
2.2,34,1046.6,0.0,0.0,0.0,0,0,0,1.78,10.5,202.17,18.72,180.0,21.22,165.26,12.6,45.93,74.84,138.44,1394.09
4.7,34,1046.6,0.0,0.0,0.0,0,0,0,105.91,10.48,195.95,18.72,181.1,22.73,169.05,15.12,33.12,68.32,151.36,2183.29
8.01,38,1045.1,0.0,0.0,0.0,0,0,0,253.65,7.57,182.73,11.89,178.26,20.72,162.82,9.72,22.47,64.17,165.82,2499.11
10.59,33,1044.0,0.0,0.0,0.0,0,0,0,372.91,5.96,154.98,7.9,155.77,8.05,153.43,7.56,18.26,62.88,181.24,2675.5
12.3,48,1042.4,0.0,0.0,0.0,0,0,0,453.9,9.45,17.74,10.46,26.57,10.95,27.41,14.04,23.88,64.63,196.58,2568.43
12.29,50,1042.1,0.0,0.0,0.0,0,0,0,477.04,11.17,20.77,11.97,21.16,12.1,22.75,15.48,35.07,69.19,210.83,2246.87
12.0,52,1042.2,0.0,0.0,0.0,0,0,0,447.67,11.38,18.43,12.1,22.75,12.25,24.3,14.4,48.06,76.03,223.49,1169.19
11.88,52,1041.9,0.0,0.0,0.0,0,0,0,367.57,10.16,22.93,11.27,26.57,11.44,28.18,13.32,61.59,84.49,234.59,115.49
3.45,26,1042.3,0.0,0.0,0.0,0,0,0,0.0,10.23,230.71,13.68,270.0,13.68,268.49,12.96,59.51,83.05,126.96,506.59
3.47,31,1041.4,0.0,0.0,0.0,0,0,0,2.67,8.71,231.71,10.14,286.5,10.7,289.65,14.4,45.98,74.77,138.28,1437.52
6.18,41,1041.2,0.0,0.0,0.0,0,0,0,111.25,5.69,251.57,11.11,294.9,11.75,297.35,9.0,33.12,68.22,151.22,2222.69
9.49,40,1040.0,0.0,0.0,0.0,0,0,0,263.44,2.62,285.95,10.7,312.27,11.46,313.73,6.12,22.42,64.04,165.68,2533.21
12.46,36,1038.8,0.0,0.0,0.0,0,0,0,384.48,3.4,327.99,5.32,331.7,5.32,331.7,6.12,18.11,62.73,181.06,2627.57
14.32,27,1032.5,0.0,0.0,0.0,0,0,0,462.8,6.88,276.01,7.59,275.44,6.88,276.01,7.92,23.72,64.47,196.52,2554.73
15.06,26,1034.2,0.0,0.0,0.0,0,0,0,487.72,7.1,329.53,8.21,322.13,7.99,324.16,6.48,34.92,69.02,210.8,2281.99
14.87,26,1033.3,0.0,0.0,0.0,0,0,0,456.57,14.04,358.53,16.22,357.46,15.48,358.67,13.68,47.93,75.85,223.49,1107.71
13.49,33,1034.9,0.0,0.0,0.0,0,0,0,374.69,9.03,355.43,10.08,360.0,9.73,2.12,11.16,61.37,84.25,234.53,130.57
0.83,78,1035.4,0.0,0.0,0.0,0,0,0,0.0,7.59,275.44,12.82,321.84,10.66,281.69,14.76,59.58,83.0,126.79,33.75
1.42,81,1034.2,0.0,0.0,76.0,0,76,0,2.67,7.07,284.74,14.11,322.25,9.78,276.34,15.12,46.03,74.69,138.11,335.81
5.24,71,1033.7,0.0,0.0,43.0,0,43,0,113.03,6.99,348.11,17.11,351.53,9.5,335.38,14.76,33.14,68.12,151.04,2133.79
7.68,68,1035.0,0.0,0.0,23.0,0,23,0,262.55,12.24,360.0,13.34,3.09,12.61,1.64,16.2,22.39,63.92,165.51,2506.0
8.16,68,1033.3,0.0,0.0,2.0,0,0,2,375.58,15.28,15.02,16.33,14.04,15.19,13.71,20.88,17.95,62.58,181.17,2555.61
8.66,67,1033.3,0.0,0.0,57.0,0,57,10,450.34,20.43,14.28,22.35,14.93,20.87,15.0,23.4,23.54,64.3,196.46,2361.45
8.87,71,1034.2,0.0,0.0,34.0,0,34,3,468.14,18.89,7.67,20.01,8.28,18.94,8.75,22.68,34.77,68.84,210.78,2239.38
9.01,70,1033.6,0.0,0.0,1.0,0,1,0,441.44,12.68,6.52,13.08,7.91,12.73,8.13,14.4,47.8,75.68,223.5,1209.19
9.08,69,1031.9,0.0,0.0,0.0,0,0,0,365.79,15.28,15.02,16.33,14.04,14.84,14.04,16.56,61.27,84.07,234.56,116.31
-0.13,93,1036.2,0.0,0.0,0.0,0,0,0,0.0,15.23,186.79,32.5,175.55,21.99,182.82,24.84,59.65,82.94,126.61,503.15
-0.2,94,1036.6,0.0,0.0,0.0,0,0,0,2.67,18.09,185.71,34.99,176.46,23.8,183.47,25.56,46.08,74.61,137.94,1400.05
2.91,84,1036.0,0.0,0.0,0.0,0,0,0,107.69,19.08,180.0,29.22,176.47,23.41,178.24,24.84,33.15,68.01,150.89,2166.69
5.95,73,1034.2,0.0,0.0,0.0,0,0,0,255.43,21.25,178.06,27.4,176.99,23.42,177.36,21.6,22.29,63.78,165.41,2542.47
8.24,64,1032.7,0.0,0.0,0.0,0,0,0,374.69,20.28,173.88,24.61,174.12,21.75,173.35,19.8,17.8,62.42,181.04,2677.57
10.28,44,1029.3,0.0,0.0,0.0,0,0,0,457.46,13.98,168.11,16.1,169.7,14.26,169.82,9.72,23.37,64.13,196.4,2607.08
10.75,45,1029.1,0.0,0.0,0.0,0,0,0,480.6,16.74,161.18,19.59,162.9,17.08,161.57,14.4,34.62,68.66,210.76,2304.98
10.63,44,1028.7,0.0,0.0,0.0,0,0,0,450.34,21.31,164.32,25.23,165.96,20.87,165.0,18.72,47.67,75.49,223.52,1244.68
9.72,48,1029.1,0.0,0.0,0.0,0,0,0,371.13,22.1,167.77,26.83,168.39,21.67,168.5,20.88,61.16,83.9,234.6,135.8
-0.97,67,1029.2,0.0,0.0,0.0,0,0,0,0.0,13.32,218.42,24.97,245.28,15.78,214.78,28.08,59.71,82.87,126.44,445.91
-1.12,73,1030.2,0.0,0.0,0.0,0,0,0,2.67,14.51,223.99,26.21,249.08,15.58,220.31,27.36,46.12,74.52,137.77,1353.17
2.55,63,1029.0,0.0,0.0,0.0,0,0,0,110.36,12.31,232.13,25.28,252.6,10.69,225.0,31.32,33.15,67.89,150.73,2127.66
7.45,52,1026.1,0.0,0.0,0.0,0,0,0,260.77,12.56,242.7,17.32,249.3,10.38,236.31,24.12,22.22,63.63,165.28,2437.08
10.78,38,1024.3,0.0,0.0,0.0,0,0,0,380.03,21.32,258.31,26.41,259.0,21.05,257.15,32.04,17.64,62.25,180.84,2568.28
12.61,31,1023.7,0.0,0.0,0.0,0,0,0,453.01,22.31,259.78,26.05,258.85,22.38,258.87,32.76,23.19,63.94,196.35,2350.53
12.67,32,1023.2,0.0,0.0,0.0,0,0,0,477.04,22.7,255.3,26.9,254.48,22.8,254.43,32.76,34.47,68.47,210.75,968.72
12.57,34,1022.4,0.0,0.0,35.0,2,35,0,452.12,21.22,255.26,25.42,254.39,21.66,254.58,31.68,47.54,75.31,223.54,233.24
12.09,37,1022.3,0.0,0.0,95.0,26,95,0,373.8,21.54,260.38,25.7,258.69,21.32,258.31,31.32,61.06,83.72,234.65,40.21
3.69,97,1027.4,0.1,0.0,100.0,0,0,100,0.0,10.44,313.6,16.8,315.0,12.23,312.61,15.84,59.77,82.8,126.26,480.82
3.03,98,1027.7,0.1,0.0,100.0,0,0,100,2.67,7.79,303.69,12.39,305.54,6.99,304.51,21.6,46.15,74.42,137.6,1400.39
4.92,82,1027.1,0.0,0.0,100.0,0,0,100,108.58,5.8,299.74,6.29,293.63,4.83,296.57,19.44,33.15,67.77,150.57,2190.3
5.93,76,1027.6,0.0,0.0,40.0,0,0,40,258.1,3.32,282.53,3.26,276.34,2.9,277.13,18.0,22.14,63.48,165.15,2537.56
7.28,69,1026.3,0.0,0.0,47.0,0,0,47,381.81,2.6,236.31,2.81,230.19,2.55,225.0,16.2,17.47,62.08,180.75,2689.52
9.45,65,1025.4,0.0,0.0,4.0,0,0,4,457.46,3.98,354.81,3.67,348.69,3.62,354.29,14.04,23.0,63.76,196.3,2590.26
10.17,62,1024.3,0.0,0.0,29.0,0,0,29,412.07,2.55,315.0,3.4,302.01,2.81,309.81,13.68,34.31,68.28,210.75,2268.11
10.88,58,1023.6,0.0,0.0,10.0,0,0,10,355.11,5.41,266.19,6.13,266.63,5.41,266.19,15.84,47.39,75.1,223.54,1249.09
11.03,59,1022.8,0.0,0.0,100.0,0,0,100,284.8,5.62,230.19,6.64,229.4,6.11,225.0,15.84,60.95,83.54,234.7,143.97
10.88,60,1022.6,0.0,0.0,83.0,0,0,83,225.17,7.07,194.74,8.05,190.3,7.64,188.13,16.2,106.7,120.23,215.22,16.1
0.79,93,1020.6,0.0,0.0,1.0,0,0,1,0.0,20.18,195.52,35.6,204.49,22.96,193.6,34.92,59.84,82.72,126.07,491.01
2.61,91,1019.1,0.0,0.0,8.0,0,8,1,3.56,23.22,199.0,37.54,204.35,26.18,198.43,33.84,46.19,74.32,137.42,589.7
5.84,77,1018.4,0.0,0.0,36.0,0,36,1,121.04,30.49,202.93,41.38,206.34,32.57,203.45,40.68,33.14,67.64,150.41,1522.62
7.08,71,1017.3,0.0,0.0,0.0,0,0,0,268.78,30.92,207.76,39.03,209.88,32.04,207.43,42.48,22.06,63.32,165.01,690.97
8.51,64,1015.3,0.0,0.0,13.0,22,13,0,386.26,30.57,212.01,36.75,214.62,31.06,212.22,42.84,17.29,61.9,180.65,291.16
8.96,55,1015.2,0.0,0.0,100.0,100,100,0,389.82,28.4,210.47,33.35,212.66,29.02,209.74,42.12,22.82,63.56,196.25,177.41
9.17,53,1013.9,0.0,0.0,100.0,100,100,0,395.16,29.27,211.93,34.25,213.86,29.7,210.61,43.92,34.16,68.08,210.75,156.05
7.0,69,1013.6,0.0,0.0,100.0,100,100,0,186.9,29.39,210.96,37.75,212.93,30.81,210.16,45.0,47.29,74.92,223.6,123.72
7.01,74,1013.3,0.0,0.0,100.0,100,100,0,107.69,28.66,206.89,36.89,208.57,29.95,205.64,45.36,60.74,83.27,234.67,17.42
-2.16,94,1016.2,0.0,0.0,56.0,0,0,56,0.0,31.26,302.77,41.56,301.9,35.57,301.76,35.28,60.01,82.72,125.8,162.86
-3.41,97,1016.9,0.0,0.0,3.0,0,0,3,3.56,23.34,296.57,33.65,296.02,28.02,295.91,28.44,46.22,74.21,137.25,1416.81
-0.57,75,1017.2,0.0,0.0,0.0,0,0,0,118.37,24.93,287.65,26.76,287.22,25.73,287.93,27.0,33.13,67.5,150.25,1549.98
1.54,62,1016.2,0.0,0.0,0.0,0,0,0,271.45,22.91,278.13,23.68,278.75,23.27,278.0,25.2,21.88,63.13,165.03,1717.22
2.77,57,1015.7,0.0,0.0,12.0,0,12,0,392.49,25.96,273.18,27.04,273.05,26.3,272.35,32.4,17.11,61.71,180.56,1463.14
1.86,69,1016.5,0.0,0.0,10.0,0,0,10,299.93,42.33,303.55,43.33,303.82,41.04,303.55,45.36,22.63,63.36,196.21,774.13
2.72,63,1016.0,0.0,0.0,10.0,0,0,10,469.92,43.53,304.22,44.83,304.2,42.53,303.96,46.08,34.01,67.88,210.75,202.27
2.62,68,1016.3,0.0,0.0,2.0,0,0,2,379.14,42.24,302.47,43.66,301.86,40.95,302.43,45.0,47.17,74.72,223.64,332.34
2.5,73,1017.1,0.0,0.0,100.0,0,46,100,386.26,41.14,302.86,42.55,302.21,39.84,302.83,43.92,60.75,83.16,234.82,177.92
-5.35,82,1028.9,0.0,0.0,0.0,0,0,0,0.0,15.94,276.48,26.49,301.1,17.02,276.07,18.72,59.96,82.56,125.69,553.33
-4.92,84,1028.8,0.0,0.0,0.0,0,0,0,3.56,14.83,275.57,25.68,301.24,17.16,279.66,19.08,46.25,74.09,137.07,1457.47
-1.68,75,1028.2,0.0,0.0,0.0,0,0,0,119.26,14.0,287.97,19.8,297.03,15.38,286.31,17.64,33.11,67.35,150.08,2219.26
1.3,61,1026.6,0.0,0.0,0.3,1,0,0,272.34,18.2,294.54,18.51,296.57,19.01,294.62,21.24,21.88,62.99,164.75,2595.2
2.34,59,1025.8,0.0,0.0,0.3,1,0,0,398.72,20.77,297.9,20.95,298.77,20.14,298.86,22.32,16.92,61.52,180.48,2724.48
4.5,31,1024.7,0.0,0.0,0.0,0,0,0,478.82,7.79,303.69,7.9,300.07,7.1,300.47,11.88,22.43,63.15,196.17,2668.65
5.21,27,1023.4,0.0,0.0,0.0,0,0,0,504.63,7.63,289.29,7.42,284.04,6.29,283.24,12.6,33.86,67.67,210.76,2415.17
5.6,26,1022.8,0.0,0.0,61.0,8,61,0,477.93,8.05,280.3,7.57,272.73,6.85,273.01,13.32,47.05,74.51,223.69,1160.23
5.58,27,1022.2,0.0,0.0,100.0,0,100,0,394.27,9.01,267.71,9.11,260.91,8.4,260.13,14.4,60.65,82.97,234.89,127.91
-0.93,89,1014.9,0.2,0.0,100.0,0,100,100,0.0,46.8,180.44,53.02,183.5,46.8,180.0,41.04,59.77,82.3,125.68,7.62
-0.64,88,1014.1,0.2,0.0,100.0,0,100,100,2.67,46.44,180.0,52.6,182.35,45.72,180.0,51.12,46.27,73.97,136.89,164.67
0.34,84,1014.5,0.2,0.0,100.0,0,44,100,68.53,48.24,180.0,51.84,180.8,47.16,179.56,37.44,33.13,67.22,149.89,315.74
1.02,80,1013.8,0.1,0.0,100.0,0,0,100,187.79,48.24,180.0,50.77,180.81,47.16,180.0,42.12,21.79,62.81,164.62,316.44
1.62,77,1012.5,0.1,0.0,100.0,0,0,100,295.48,46.81,181.32,48.99,182.11,46.45,181.33,41.04,16.73,61.32,180.38,870.25
1.22,77,1012.7,0.0,0.0,100.0,0,0,100,205.59,45.01,172.65,47.47,173.47,45.01,172.65,40.32,22.24,62.94,196.14,902.17
1.82,76,1012.5,0.0,0.0,60.0,0,0,60,382.7,42.34,174.14,44.46,174.89,42.34,174.14,39.24,33.7,67.45,210.77,357.75
2.5,76,1012.0,0.0,0.0,100.0,0,0,100,373.8,40.06,175.88,41.84,176.55,40.06,175.88,38.88,46.92,74.31,223.74,125.96
1.83,81,1010.4,0.0,0.0,100.0,0,0,100,201.14,37.65,173.96,40.16,174.34,38.05,173.48,35.28,60.56,82.77,234.97,25.23
-3.59,94,1015.8,0.0,0.0,94.0,0,0,94,4.45,45.67,20.29,55.5,22.91,46.01,20.14,56.88,44.28,72.68,138.49,0.06
-3.08,94,1017.7,0.0,0.07,100.0,0,0,100,121.04,42.18,15.34,47.93,17.48,41.84,15.47,55.8,33.07,67.05,149.76,19.06
-2.18,92,1017.0,0.0,0.07,88.0,0,0,88,225.17,46.33,18.58,49.64,19.49,45.65,18.86,57.24,21.69,62.62,164.49,155.21
-1.2,79,1016.2,0.0,0.0,10.0,0,0,10,308.83,48.55,23.14,52.53,24.28,48.36,23.7,58.32,16.52,61.11,180.31,1138.0
0.05,68,1016.3,0.0,0.0,10.0,0,0,10,472.59,40.38,21.99,42.92,22.69,39.85,22.86,51.84,22.04,62.73,196.11,2176.69
0.81,64,1015.9,0.0,0.0,10.0,0,0,10,496.62,39.39,18.1,41.9,19.06,38.71,18.43,49.32,33.55,67.24,210.8,2204.07
1.29,62,1016.0,0.0,0.0,10.0,0,0,10,467.25,36.36,11.42,39.05,12.24,36.08,12.09,44.28,46.8,74.09,223.79,1544.63
1.51,64,1015.3,0.0,0.0,10.0,0,0,10,374.69,33.99,5.47,36.97,6.71,34.11,7.28,42.84,60.46,82.57,235.05,226.21
-1.95,91,1013.5,0.0,0.0,100.0,0,0,100,0.0,8.59,236.98,12.96,271.59,8.67,228.37,12.96,60.21,82.31,125.03,480.21
-1.24,79,1012.5,0.0,0.0,100.0,0,0,100,2.67,12.5,258.37,18.36,268.88,12.57,256.76,15.48,46.31,73.7,136.52,568.67
-2.19,86,1013.8,0.0,0.07,100.0,0,0,100,48.06,14.69,281.31,13.08,277.91,11.9,273.47,14.76,33.05,66.88,149.59,639.75
-1.85,86,1013.6,0.1,0.28,100.0,0,0,100,105.02,13.83,308.66,13.28,310.6,12.5,311.5,14.04,21.58,62.43,164.36,705.54
-0.86,87,1012.3,0.1,0.42,100.0,0,0,100,168.21,17.48,327.62,18.4,329.42,17.91,329.83,18.0,16.31,60.9,180.23,709.37
0.86,81,1010.6,0.2,0.07,100.0,0,17,100,217.16,11.02,321.63,11.38,325.3,10.88,325.78,16.56,21.84,62.5,196.09,595.21
1.82,76,1010.2,0.1,0.0,100.0,0,10,100,416.52,13.76,317.12,12.48,316.17,12.23,317.39,15.84,33.4,67.01,210.82,288.75
2.28,78,1009.6,0.0,0.0,100.0,0,0,100,311.5,17.38,320.04,17.85,318.27,17.34,318.37,18.72,46.69,73.88,223.86,120.29
